               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029655,           0.0070328,           0.0017476,             0.99379,              0.7974,             0.81584,             0.60499,            0.031698,           0.0041461,          0.00084273,            0.006535,            0.006535,            0.006535
                  37,            0.028195,           0.0072206,           0.0015258,             0.98266,             0.79763,             0.81373,             0.63327,              0.0301,            0.004122,          0.00082224,            0.006436,            0.006436,            0.006436
                  38,            0.028247,            0.006698,           0.0015998,             0.98058,             0.78988,             0.80727,             0.64271,            0.029011,            0.004184,          0.00081124,            0.006337,            0.006337,            0.006337
                  39,            0.026432,           0.0069082,           0.0011194,             0.97801,             0.79315,             0.81258,             0.63876,            0.031682,           0.0040263,          0.00067852,            0.006238,            0.006238,            0.006238
                  40,             0.02648,           0.0061315,           0.0012543,             0.98521,             0.79501,             0.80903,             0.64165,            0.030974,           0.0040983,          0.00070612,            0.006139,            0.006139,            0.006139
                  41,            0.026147,           0.0059722,           0.0013851,             0.98032,             0.78169,             0.81921,             0.65084,            0.029119,           0.0040473,           0.0007362,             0.00604,             0.00604,             0.00604
                  42,            0.026204,           0.0065291,           0.0010644,             0.98182,             0.79404,             0.81719,             0.64744,            0.029357,           0.0038898,          0.00070054,            0.005941,            0.005941,            0.005941
                  43,             0.02533,           0.0064489,           0.0013334,             0.98124,              0.7918,             0.82539,             0.64479,            0.027619,           0.0040082,          0.00065749,            0.005842,            0.005842,            0.005842
                  44,            0.025914,           0.0062523,           0.0011224,             0.98852,              0.7908,             0.81869,             0.64747,            0.028518,           0.0040582,          0.00086794,            0.005743,            0.005743,            0.005743
                  45,            0.025467,           0.0066901,           0.0010681,             0.97157,             0.79248,             0.81794,             0.65388,             0.02981,           0.0041233,          0.00083348,            0.005644,            0.005644,            0.005644
                  46,            0.024318,           0.0061659,            0.001373,             0.99505,             0.79051,             0.81704,             0.65243,            0.028255,           0.0039421,          0.00079644,            0.005545,            0.005545,            0.005545
                  47,            0.024963,           0.0061494,           0.0010762,             0.97916,              0.7859,             0.81673,             0.65195,            0.028796,           0.0039023,          0.00068084,            0.005446,            0.005446,            0.005446
                  48,             0.02503,           0.0061958,           0.0010552,             0.97856,             0.79446,             0.81465,             0.66318,            0.029405,           0.0038759,          0.00062214,            0.005347,            0.005347,            0.005347
                  49,            0.024392,           0.0062641,           0.0011494,              0.9825,             0.79317,             0.82629,             0.66106,            0.027811,           0.0039512,           0.0007614,            0.005248,            0.005248,            0.005248
                  50,            0.023425,           0.0062344,           0.0013622,             0.98453,             0.79587,             0.82048,             0.66099,            0.028508,           0.0039254,          0.00096304,            0.005149,            0.005149,            0.005149
                  51,            0.024219,           0.0060592,           0.0010183,             0.98798,             0.79432,              0.8217,             0.65506,            0.030671,           0.0040058,          0.00069448,             0.00505,             0.00505,             0.00505
                  52,            0.023636,           0.0062493,           0.0010962,             0.98934,             0.79617,              0.8123,             0.64896,            0.030849,           0.0039702,          0.00060759,            0.004951,            0.004951,            0.004951
